TIME,MON_A,MON_B,MON_C,TUE_A,TUE_B,TUE_C,WED_A,WED_B,WED_C,THU_A,THU_B,THU_C,FRI_A,FRI_B,FRI_C
8:15,A1,-,U1,K1,-,X1,B2,-,W2,L2,-,Z2,C3,-,O2
8:30,A1,-,U1,K1,-,X1,B2,-,W2,L2,-,Z2,C3,-,O2
8:45,A1,-,U1,K1,-,X1,B2,-,W2,L2,-,Z2,C3,-,O2
9:00,A1,-,U1,K1,-,X1,B2,-,W2,L2,-,Z2,C3,-,O2
9:15,B1,-,U1,L1,-,X1,C2,-,W2,A3,-,Z2,K3,-,O2
9:30,B1,-,U1,L1,-,X1,C2,-,W2,A3,-,Z2,K3,-,O2
9:45,B1,-,W1,L1,-,Z1,C2,-,O1,A3,-,U2,K3,-,X2
10:00,B1,-,W1,L1,-,Z1,C2,-,O1,A3,-,U2,K3,-,X2
10:15,C1,-,W1,A2,-,Z1,K2,-,O1,B3,-,U2,L3,-,X2
10:30,C1,-,W1,A2,-,Z1,K2,-,O1,B3,-,U2,L3,-,X2
10:45,C1,-,W1,A2,-,Z1,K2,-,O1,B3,-,U2,L3,-,X2
11:00,C1,-,W1,A2,-,Z1,K2,-,O1,B3,-,U2,L3,-,X2
11:15,A4,-,U4,K4,-,X4,B5,-,W5,L5,-,Z5,C6,-,O5
11:30,A4,-,U4,K4,-,X4,B5,-,W5,L5,-,Z5,C6,-,O5
11:45,A4,-,U4,K4,-,X4,B5,-,W5,L5,-,Z5,C6,-,O5
12:00,A4,-,U4,K4,-,X4,B5,-,W5,L5,-,Z5,C6,-,O5
12:15,B4,-,U4,L4,-,X4,C5,-,W5,A6,-,Z5,K6,-,O5
12:30,B4,-,U4,L4,-,X4,C5,-,W5,A6,-,Z5,K6,-,O5
12:45,B4,-,W4,L4,-,Z4,C5,-,O4,A6,-,U5,K6,-,X5
13:00,B4,-,W4,L4,-,Z4,C5,-,O4,A6,-,U5,K6,-,X5
13:15,C4,-,W4,A5,-,Z4,K5,-,O4,B6,-,U5,L6,-,X5
13:30,C4,-,W4,A5,-,Z4,K5,-,O4,B6,-,U5,L6,-,X5
13:45,C4,-,W4,A5,-,Z4,K5,-,O4,B6,-,U5,L6,-,X5
14:00,C4,-,W4,A5,-,Z4,K5,-,O4,B6,-,U5,L6,-,X5
14:15,A7,Q1,U7,K7,Q2,X7,B8,Q3,W8,L8,Q4,Z8,C9,Q5,O8
14:30,A7,Q1,U7,K7,Q2,X7,B8,Q3,W8,L8,Q4,Z8,C9,Q5,O8
14:45,A7,Q1,U7,K7,Q2,X7,B8,Q3,W8,L8,Q4,Z8,C9,Q5,O8
15:00,A7,Q1,U7,K7,Q2,X7,B8,Q3,W8,L8,Q4,Z8,C9,Q5,O8
15:15,B7,Q1,U7,L7,Q2,X7,C8,Q3,W8,A9,Q4,Z8,K9,Q5,O8
15:30,B7,Q1,U7,L7,Q2,X7,C8,Q3,W8,A9,Q4,Z8,K9,Q5,O8
15:45,B7,Q1,W7,L7,Q2,Z7,C8,Q3,O7,A9,Q4,U8,K9,Q5,X8
16:00,B7,Q1,W7,L7,Q2,Z7,C8,Q3,O7,A9,Q4,U8,K9,Q5,X8
16:15,C7,Q1,W7,A8,Q2,Z7,K8,Q3,O7,B9,Q4,U8,L9,Q5,X8
16:30,C7,Q1,W7,A8,Q2,Z7,K8,Q3,O7,B9,Q4,U8,L9,Q5,X8
16:45,C7,Q1,W7,A8,Q2,Z7,K8,Q3,O7,B9,Q4,U8,L9,Q5,X8
17:00,C7,Q1,W7,A8,Q2,Z7,K8,Q3,O7,B9,Q4,U8,L9,Q5,X8
17:15,D1,T1,I1,H1,-,-,E2,T3,J2,-,-,M2,F3,-,N2
17:30,D1,T1,I1,H1,-,-,E2,T3,J2,-,-,M2,F3,-,N2
17:45,D1,T1,I1,H1,-,-,E2,T3,J2,-,-,M2,F3,-,N2
18:00,D1,T1,I1,H1,-,-,E2,T3,J2,-,-,M2,F3,-,N2
18:15,E1,T1,I1,-,-,-,F2,T3,J2,D3,-,M2,H3,-,N2
18:30,E1,T1,I1,-,-,-,F2,T3,J2,D3,-,M2,H3,-,N2
18:45,E1,T1,J1,-,T2,M1,F2,T3,N1,D3,T4,I2,H3,-,-
19:00,E1,T1,J1,-,T2,M1,F2,T3,N1,D3,T4,I2,H3,-,-
19:15,F1,T1,J1,D2,T2,M1,H2,T3,N1,E3,T4,I2,-,-,-
19:30,F1,T1,J1,D2,T2,M1,H2,T3,N1,E3,T4,I2,-,-,-
19:45,F1,T1,J1,D2,T2,M1,H2,T3,N1,E3,T4,I2,-,-,-
20:00,F1,T1,J1,D2,T2,M1,H2,T3,N1,E3,T4,I2,-,-,-
20:15,R1,-,G1,G3,T2,-,R2,-,G2,R3,T4,G4,-,-,-
20:30,R1,-,G1,G3,T2,-,R2,-,G2,R3,T4,G4,-,-,-
20:45,R1,-,G1,G3,T2,-,R2,-,G2,R3,T4,G4,-,-,-
21:00,R1,-,G1,G3,T2,-,R2,-,G2,R3,T4,G4,-,-,-
21:15,-,-,G1,G3,T2,-,-,-,G2,-,T4,G4,-,-,-
21:30,-,-,G1,G3,T2,-,-,-,G2,-,T4,G4,-,-,-
